mapsize,25,25,,,,,,,,,,,,,,,,,,,,,,
mapdata,,,,,,,,,,,,,,,,,,,,,,,,
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
20,20,20,20,20,20,20,20,20,20,20,20,69,69,69,20,20,20,20,20,20,20,20,20,20
20,20,69,69,69,20,20,20,20,20,20,20,69,69,69,20,20,23,23,23,23,23,20,20,20
20,20,69,69,69,20,20,20,20,20,20,20,69,69,69,20,20,23,23,23,23,23,20,20,20
20,20,69,69,69,20,20,20,69,69,69,20,69,69,69,20,20,23,23,23,23,23,20,20,20
20,20,20,20,20,20,20,20,69,69,69,20,69,69,69,69,69,23,23,23,23,23,20,20,20
20,20,20,20,20,69,69,69,69,69,69,20,69,69,69,69,69,23,23,23,23,23,20,20,20
20,20,20,23,23,69,69,69,20,20,20,20,20,20,20,69,69,69,20,69,69,69,20,20,20
20,20,20,23,23,69,69,69,20,23,23,23,23,20,20,20,20,20,20,69,69,69,20,20,20
20,20,20,23,23,20,20,20,20,23,23,23,23,20,20,20,20,20,20,69,69,69,20,20,20
20,20,20,23,23,20,20,20,23,23,23,23,23,23,23,20,20,23,23,23,23,20,20,20,20
20,20,20,23,23,20,20,20,23,23,23,23,23,23,23,20,20,23,23,23,23,20,20,20,20
20,20,20,23,23,69,69,69,23,23,23,23,23,23,23,69,69,69,20,23,23,23,23,20,20
20,20,20,20,20,69,69,69,23,23,23,23,23,23,23,69,69,69,20,23,23,23,23,20,20
20,20,20,20,20,69,69,69,20,20,20,69,69,69,20,69,69,69,20,23,23,23,23,20,20
20,20,20,20,20,20,20,20,20,20,20,69,69,69,20,20,20,20,20,23,23,23,23,20,20
20,69,69,69,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,69,69,69,20,20,20
20,69,69,69,20,69,69,69,20,20,20,20,20,20,20,20,20,20,20,69,69,69,20,20,20
20,69,69,69,20,69,69,69,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
20,20,20,20,20,69,69,69,20,69,69,69,69,69,20,20,20,20,20,20,20,20,20,20,20
20,20,20,23,23,23,20,20,20,69,69,69,69,69,20,20,20,20,20,20,20,20,20,20,20
20,20,20,23,23,23,20,20,20,69,69,69,69,69,20,20,20,20,20,20,20,20,20,20,20
20,20,20,23,23,23,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
